معدلك في الثانوية العامة,التخصص في الثانوية العامة,نوع المدرسة,الوضع الاقتصادي,طبيعة عمل ولي الامر,طبيعة السكن,هل كنت تمتلك جهاز حاسوب,هل يمتلك ولي أمرك وسيلة نقل خاصة,التحصيل العلمي للوالد,التحصيل العلمي للوالدة,نوع الجامعة,هل سكنك قريب من الجامعة,في أي سنة دراسية الان,كليتك؟,معدلك في الجامعة,اين سمعت عن التخصصك الحالي اول مرة ,مشاكل في النظر,مشاكل في السمع,مشاكل جسدية,لا يوجد مشاكل,الرياضة هوايتي,القراءة هوايتي,الكتابة هوايتي,التحليل هوايتي,حل المسائل هوايتي,التكنولوجيا هوايتي,لا يوجد هواية
70-79,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,خريج,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضب التخصصات,1,0,0,0,0,0,0,1,1,1,0
80-89,علمي,خاصة,ممتاز,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,اعدادية,خاصة,لا,خريج,تكنولوجيا المعلومات,ممتاز,من اقاربك,0,0,0,1,0,0,0,0,0,1,0
90-99,علمي,حكومي,جيد,موظف خاص,إيجار,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,لا,رابعة,تكنولوجيا المعلومات,ممتاز,عن طريق مواقع التواصل الاجماعي,0,0,0,1,0,1,1,0,0,0,0
70-79,أدبي,حكومي,جيد,أعمال حرة,إيجار,لا,لا,يقرأ ويكتب,تقرأ وتكتب,خاصة,نعم,اولى,آداب,لا يوجد معدل,من اقاربك,1,0,0,0,0,0,0,0,0,1,0
80-89,أدبي,خاصة,جيد,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,خاصة,لا,ثانية,آداب,جيد جدا,عن طريق مواقع التواصل الاجماعي,0,0,0,1,0,0,0,0,0,1,0
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,ثالثة,تخصصات طبية,جيد جدا,من اقاربك,0,0,0,1,0,0,0,0,1,0,0
70-79,أدبي,حكومي,جيد جدا,موظف خاص,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,ثالثة,أعمال,جيد جدا,من اقاربك,0,0,0,1,0,0,0,0,1,0,0
60-69,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,اولى,الهندسة,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,0,0,1,0
60-69,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,لا,ثانية,تكنولوجيا المعلومات,ممتاز,من اقاربك,0,0,0,1,1,1,1,0,0,1,0
70-79,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,لا,ثانية,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,1,1,0
70-79,علمي,حكومي,جيد,أعمال حرة,إيجار,نعم,نعم,اعدادية,اعدادية,خاصة,لا,ثالثة,تكنولوجيا المعلومات,جيد جدا,من اقاربك,0,0,0,1,0,0,0,1,0,1,0
60-69,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,اعدادية,خاصة,نعم,رابعة,تكنولوجيا المعلومات,جيد,من صديق,0,0,0,1,1,0,0,0,0,0,0
70-79,تكنولوجيا المعلومات,خاصة,ممتاز,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,خاصة,نعم,رابعة,تكنولوجيا المعلومات,ممتاز,من صديق,0,0,0,1,0,1,0,1,1,0,0
60-69,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,نعم,نعم,اعدادية,بكالوريوس,خاصة,نعم,اولى,آداب,لا يوجد معدل,من اقاربك,0,0,0,1,0,0,0,0,0,1,0
70-79,أدبي,حكومي,جيد,موظف حكومي,إيجار,نعم,لا,اعدادية,اعدادية,خاصة,لا,خريج,أعمال,جيد جدا,عن طريق البحث عن افضل التخصصات,1,0,0,0,1,0,0,0,0,0,0
80-89,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,نعم,ثالثة,,ممتاز,من صديق,1,0,0,0,0,0,0,0,0,0,1
90-99,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد جدا,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,0,0,0
90-99,علمي,حكومي,جيد جدا,موظف خاص,مُلك خاص,نعم,نعم,ماجستير,بكالوريوس,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد,من اقاربك,0,0,0,1,0,0,0,0,0,1,0
60-69,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,نعم,بكالوريوس,تقرأ وتكتب,خاصة,لا,اولى,تكنولوجيا المعلومات,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,0,0,1,0
60-69,علمي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,اولى,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,1,1,0
60-69,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,نعم,بكالوريوس,اعدادية,خاصة,لا,اولى,تكنولوجيا المعلومات,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,1,0,0,0,1,0,0,0,0,1,0
70-79,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,اعدادية,خاصة,نعم,ثالثة,علوم,ممتاز,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,0,0,0
70-79,أدبي,حكومي,ضعيف,أعمال حرة,إيجار,لا,لا,اعدادية,اعدادية,خاصة,لا,اولى,أعمال,لا يوجد معدل,من اقاربك,0,0,0,1,1,0,0,0,0,1,0
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد جدا,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,0,0,0,0
70-79,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,نعم,نعم,ماجستير,بكالوريوس,خاصة,لا,ثانية,تخصصات طبية,جيد جدا,من اقاربك,0,0,0,1,0,0,0,0,0,1,0
70-79,علمي,خاصة,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,اولى,تكنولوجيا المعلومات,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,1,1,0
70-79,علمي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,يقرأ ويكتب,اعدادية,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد,عن طريق مواقع التواصل الاجماعي,0,0,0,1,1,1,1,1,0,1,0
70-79,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,نعم,اولى,أعمال,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,1,0,0,0,0,0
70-79,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,لا,لا,بكالوريوس,اعدادية,خاصة,لا,ثانية,تخصصات طبية,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,1,0,0,0,0
70-79,صناعي,حكومي,جيد جدا,موظف خاص,مُلك خاص,لا,نعم,ماجستير,بكالوريوس,خاصة,لا,خريج,اقتصاد,جيد,عن طريق مواقع التواصل الاجماعي,0,1,0,0,0,0,0,0,0,1,0
80-89,علمي,حكومي,جيد,أعمال حرة,إيجار,لا,لا,اعدادية,اعدادية,خاصة,لا,ثانية,تكنولوجيا المعلومات,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,0,0,1,0
70-79,علمي,حكومي,ممتاز,أعمال حرة,مُلك خاص,نعم,لا,بكالوريوس,اعدادية,خاصة,نعم,خريج,تكنولوجيا المعلومات,جيد,من اقاربك,1,0,0,0,0,1,0,0,0,0,0
60-69,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,بكالوريوس,خاصة,لا,اولى,آداب,لا يوجد معدل,من اقاربك,0,0,0,1,0,1,0,0,0,0,0
