معدلك في الثانوية العامة,التخصص في الثانوية العامة,نوع المدرسة,الوضع الاقتصادي,طبيعة عمل ولي الامر,طبيعة السكن,هل كنت تمتلك جهاز حاسوب,هل تعاني من مشاكل صحية في,هل يمتلك ولي أمرك وسيلة نقل خاصة,التحصيل العلمي للوالد,التحصيل العلمي للوالدة,ما هوايتك,نوع الجامعة,كليتك؟,معدلك في الجامعة,اين سمعت عن التخصصك الحالي اول مرة 
70-79,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,النظر,نعم,بكالوريوس,بكالوريوس,"التحليل, حل المسائل, التكنولوجيا",خاصة,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضب التخصصات
80-89,علمي,خاصة,ممتاز,أعمال حرة,مُلك خاص,نعم,لا,نعم,اعدادية,اعدادية,التكنولوجيا,خاصة,تكنولوجيا المعلومات,ممتاز,من اقاربك
90-99,علمي,حكومي,جيد,موظف خاص,إيجار,نعم,لا,نعم,بكالوريوس,بكالوريوس,"القراءة, الكتابة",خاصة,تكنولوجيا المعلومات,ممتاز,عن طريق مواقع التواصل الاجماعي
70-79,أدبي,حكومي,جيد,أعمال حرة,إيجار,لا,النظر,لا,يقرأ ويكتب,تقرأ وتكتب,التكنولوجيا,خاصة,آداب,لا يوجد معدل,من اقاربك
80-89,أدبي,خاصة,جيد,أعمال حرة,مُلك خاص,نعم,لا,نعم,بكالوريوس,اعدادية,التكنولوجيا,خاصة,آداب,جيد جدا,عن طريق مواقع التواصل الاجماعي
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,لا,نعم,بكالوريوس,بكالوريوس,حل المسائل,خاصة,تخصصات طبية,جيد جدا,من اقاربك
70-79,أدبي,حكومي,جيد جدا,موظف خاص,مُلك خاص,نعم,لا,نعم,بكالوريوس,بكالوريوس,حل المسائل,خاصة,أعمال,جيد جدا,من اقاربك
60-69,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,نعم,لا,نعم,بكالوريوس,بكالوريوس,"الرياضة, التكنولوجيا",خاصة,الهندسة,لا يوجد معدل,عن طريق البحث عن افضل التخصصات
60-69,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,لا,نعم,اعدادية,اعدادية,"الرياضة, القراءة, الكتابة, التكنولوجيا",خاصة,تكنولوجيا المعلومات,ممتاز,من اقاربك
70-79,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,لا,نعم,بكالوريوس,بكالوريوس,"التحليل, حل المسائل, التكنولوجيا",خاصة,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضل التخصصات
70-79,علمي,حكومي,جيد,أعمال حرة,إيجار,نعم,لا,نعم,اعدادية,اعدادية,"التحليل, التكنولوجيا",خاصة,تكنولوجيا المعلومات,جيد جدا,من اقاربك
60-69,علمي,خاصة,جيد جدا,أعمال حرة,مُلك خاص,نعم,لا,نعم,اعدادية,اعدادية,الرياضة,خاصة,تكنولوجيا المعلومات,جيد,من صديق
