Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
LGBMClassifier,1,1,1,0.450091123580933
BaggingClassifier,1,1,1,0.0384430885314941
XGBClassifier,1,1,1,13.9489505290985
SVC,1,1,1,0.0372099876403809
DecisionTreeClassifier,1,1,1,0.0106973648071289
ExtraTreeClassifier,1,1,1,0.00855898857116699
ExtraTreesClassifier,1,1,1,0.144502878189087
RandomForestClassifier,1,1,1,0.223944664001465
KNeighborsClassifier,1,1,1,0.0680091381072998
LabelPropagation,1,1,1,0.576949119567871
LabelSpreading,1,1,1,0.725428342819214
LogisticRegression,1,1,1,0.153225421905518
SGDClassifier,0.979166666666667,0.986967893217893,0.979487400747534,0.106752634048462
LinearSVC,0.979166666666667,0.986967893217893,0.979487400747534,0.313019037246704
CalibratedClassifierCV,0.979166666666667,0.986967893217893,0.979487400747534,1.26201581954956
PassiveAggressiveClassifier,0.9525,0.979031385281385,0.956001067055269,0.0619008541107178
Perceptron,0.8675,0.953733766233766,0.871586369744239,0.020369291305542
LinearDiscriminantAnalysis,0.858333333333333,0.869769867036487,0.8612641079254,0.0682940483093262
NearestCentroid,0.684166666666667,0.793657582924599,0.69228581319554,0.0260069370269775
GaussianNB,0.51,0.789652083663864,0.49664059261531,0.0120613574981689
BernoulliNB,0.714166666666667,0.785631298965723,0.711891097604534,0.0148453712463379
RidgeClassifier,0.743333333333333,0.496136746843733,0.679188800433277,0.0256292819976807
RidgeClassifierCV,0.743333333333333,0.496136746843733,0.679188800433277,0.0481405258178711
AdaBoostClassifier,0.591666666666667,0.268529772292861,0.503706706699618,0.154671192169189
QuadraticDiscriminantAnalysis,0.0616666666666667,0.166666666666667,0.00716378859236002,0.0322773456573486
DummyClassifier,0.56,0.166666666666667,0.402051282051282,0.0078277587890625
